Question Type,Technology,Difficulty,Question 
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
Coding,C++,Intermediate,Implement a C++ function to sort an array using the bubble sort algorithm.
True/False,Python,Hard,Python supports multiple inheritance.
True/False,JavaScript,Beginner,JavaScript is a statically typed language.
Coding,C++,Intermediate,Implement a C++ function to sort an array using the bubble sort algorithm.
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
True/False,Angular,Hard,Angular is primarily used for backend development.
MCQs,TypeScript,Hard,How is TypeScript different from JavaScript?
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
True/False,Go,Intermediate,Go was developed by Google.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
True/False,C++,Beginner,C++ allows function overloading.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
Essay,TypeScript,Hard,Discuss the benefits of using TypeScript in large-scale applications.
True/False,C++,Beginner,C++ allows function overloading.
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
Coding,Java,Beginner,Write a Java program to check if a number is prime.
Essay,Go,Beginner,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,C++,Beginner,Explain the differences between stack and heap memory in C++.
Essay,Go,Beginner,Explain the concept of concurrency in Go and how it differs from parallelism.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
MCQs,React,Intermediate,Which hook is used to manage state in functional components?
Coding,C++,Hard,Implement a C++ function to sort an array using the bubble sort algorithm.
True/False,C++,Intermediate,C++ allows function overloading.
MCQs,JavaScript,Beginner,What is 'this' keyword in JavaScript?
MCQs,TypeScript,Beginner,How is TypeScript different from JavaScript?
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
True/False,Go,Intermediate,Go was developed by Google.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
MCQs,Angular,Beginner,What is the role of decorators in Angular?
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
MCQs,React,Beginner,Which hook is used to manage state in functional components?
True/False,JavaScript,Hard,JavaScript is a statically typed language.
Essay,React,Intermediate,Explain how React's component lifecycle works and its significance.
Essay,Java,Beginner,Discuss the advantages and disadvantages of using Java in enterprise applications.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
Essay,TypeScript,Beginner,Discuss the benefits of using TypeScript in large-scale applications.
MCQs,JavaScript,Beginner,What is 'this' keyword in JavaScript?
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
Essay,Ruby,Intermediate,Discuss the pros and cons of using Ruby on Rails for web development.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
Coding,React,Intermediate,Build a React component that displays a list of items.
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
MCQs,JavaScript,Beginner,What is 'this' keyword in JavaScript?
MCQs,JavaScript,Hard,What is 'this' keyword in JavaScript?
Coding,C++,Beginner,Implement a C++ function to sort an array using the bubble sort algorithm.
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
Essay,Go,Beginner,Explain the concept of concurrency in Go and how it differs from parallelism.
MCQs,Angular,Hard,What is the role of decorators in Angular?
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
Coding,Angular,Hard,Create a simple Angular form with validation.
True/False,Go,Beginner,Go was developed by Google.
Essay,Ruby,Intermediate,Discuss the pros and cons of using Ruby on Rails for web development.
True/False,Angular,Intermediate,Angular is primarily used for backend development.
MCQs,React,Intermediate,Which hook is used to manage state in functional components?
MCQs,Angular,Hard,What is the role of decorators in Angular?
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
True/False,Go,Intermediate,Go was developed by Google.
True/False,Angular,Hard,Angular is primarily used for backend development.
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
True/False,JavaScript,Hard,JavaScript is a statically typed language.
Coding,C++,Beginner,Implement a C++ function to sort an array using the bubble sort algorithm.
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
MCQs,Python,Hard,Which of the following is the correct way to define a function in Python?
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,React,Intermediate,Explain how React's component lifecycle works and its significance.
True/False,Go,Hard,Go was developed by Google.
True/False,Python,Hard,Python supports multiple inheritance.
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
Coding,Java,Intermediate,Write a Java program to check if a number is prime.
MCQs,C++,Intermediate,Which operator is used to allocate memory dynamically in C++?
MCQs,C++,Intermediate,Which operator is used to allocate memory dynamically in C++?
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
True/False,Go,Beginner,Go was developed by Google.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
MCQs,TypeScript,Beginner,How is TypeScript different from JavaScript?
MCQs,Java,Intermediate,What is the purpose of the 'final' keyword in Java?
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
MCQs,React,Intermediate,Which hook is used to manage state in functional components?
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
MCQs,React,Hard,Which hook is used to manage state in functional components?
True/False,Python,Hard,Python supports multiple inheritance.
Essay,C++,Beginner,Explain the differences between stack and heap memory in C++.
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
True/False,C++,Beginner,C++ allows function overloading.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
True/False,Ruby,Intermediate,Ruby is known for its performance in highly concurrent systems.
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
MCQs,Angular,Hard,What is the role of decorators in Angular?
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
Coding,JavaScript,Beginner,Write a function to reverse a string in JavaScript.
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
True/False,React,Hard,React uses a virtual DOM to improve performance.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
Coding,Java,Beginner,Write a Java program to check if a number is prime.
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
Coding,C++,Beginner,Implement a C++ function to sort an array using the bubble sort algorithm.
True/False,Go,Hard,Go was developed by Google.
True/False,Java,Beginner,"In Java, strings are mutable."
Coding,JavaScript,Hard,Write a function to reverse a string in JavaScript.
Coding,C++,Beginner,Implement a C++ function to sort an array using the bubble sort algorithm.
Coding,React,Hard,Build a React component that displays a list of items.
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
MCQs,TypeScript,Hard,How is TypeScript different from JavaScript?
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
True/False,Go,Beginner,Go was developed by Google.
Essay,Ruby,Intermediate,Discuss the pros and cons of using Ruby on Rails for web development.
True/False,Go,Hard,Go was developed by Google.
Coding,TypeScript,Beginner,Create a TypeScript function that checks if a string is a palindrome.
Coding,JavaScript,Hard,Write a function to reverse a string in JavaScript.
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
MCQs,TypeScript,Beginner,How is TypeScript different from JavaScript?
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
True/False,Go,Hard,Go was developed by Google.
Coding,Angular,Intermediate,Create a simple Angular form with validation.
MCQs,React,Intermediate,Which hook is used to manage state in functional components?
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
MCQs,Angular,Intermediate,What is the role of decorators in Angular?
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
Coding,Ruby,Intermediate,Write a Ruby method to calculate the Fibonacci sequence.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
True/False,JavaScript,Hard,JavaScript is a statically typed language.
Coding,Java,Intermediate,Write a Java program to check if a number is prime.
Essay,Ruby,Intermediate,Discuss the pros and cons of using Ruby on Rails for web development.
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
True/False,Python,Hard,Python supports multiple inheritance.
True/False,Go,Beginner,Go was developed by Google.
Essay,C++,Beginner,Explain the differences between stack and heap memory in C++.
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
True/False,Python,Intermediate,Python supports multiple inheritance.
Coding,C++,Intermediate,Implement a C++ function to sort an array using the bubble sort algorithm.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,TypeScript,Beginner,Discuss the benefits of using TypeScript in large-scale applications.
Coding,Java,Beginner,Write a Java program to check if a number is prime.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
Coding,JavaScript,Beginner,Write a function to reverse a string in JavaScript.
True/False,Python,Intermediate,Python supports multiple inheritance.
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
MCQs,Java,Intermediate,What is the purpose of the 'final' keyword in Java?
MCQs,Ruby,Intermediate,What is a block in Ruby?
True/False,C++,Hard,C++ allows function overloading.
Coding,C++,Beginner,Implement a C++ function to sort an array using the bubble sort algorithm.
True/False,Python,Beginner,Python supports multiple inheritance.
Essay,Java,Beginner,Discuss the advantages and disadvantages of using Java in enterprise applications.
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
Coding,Ruby,Intermediate,Write a Ruby method to calculate the Fibonacci sequence.
MCQs,React,Beginner,Which hook is used to manage state in functional components?
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
True/False,C++,Hard,C++ allows function overloading.
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
MCQs,Angular,Hard,What is the role of decorators in Angular?
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
Coding,React,Beginner,Build a React component that displays a list of items.
True/False,Java,Beginner,"In Java, strings are mutable."
Coding,JavaScript,Hard,Write a function to reverse a string in JavaScript.
Essay,React,Intermediate,Explain how React's component lifecycle works and its significance.
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
True/False,React,Beginner,React uses a virtual DOM to improve performance.
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
True/False,C++,Beginner,C++ allows function overloading.
MCQs,Java,Hard,What is the purpose of the 'final' keyword in Java?
Essay,TypeScript,Beginner,Discuss the benefits of using TypeScript in large-scale applications.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
MCQs,C++,Beginner,Which operator is used to allocate memory dynamically in C++?
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
Essay,Java,Beginner,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,JavaScript,Intermediate,Explain the concept of closures in JavaScript and their use cases.
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
True/False,C++,Intermediate,C++ allows function overloading.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
True/False,React,Hard,React uses a virtual DOM to improve performance.
True/False,Angular,Intermediate,Angular is primarily used for backend development.
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
MCQs,Angular,Hard,What is the role of decorators in Angular?
True/False,Ruby,Beginner,Ruby is known for its performance in highly concurrent systems.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
Coding,React,Hard,Build a React component that displays a list of items.
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
Coding,Ruby,Intermediate,Write a Ruby method to calculate the Fibonacci sequence.
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
MCQs,React,Hard,Which hook is used to manage state in functional components?
True/False,C++,Beginner,C++ allows function overloading.
True/False,Java,Intermediate,"In Java, strings are mutable."
MCQs,React,Beginner,Which hook is used to manage state in functional components?
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
True/False,C++,Intermediate,C++ allows function overloading.
True/False,C++,Hard,C++ allows function overloading.
Coding,React,Hard,Build a React component that displays a list of items.
True/False,Angular,Intermediate,Angular is primarily used for backend development.
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
True/False,C++,Beginner,C++ allows function overloading.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
True/False,C++,Beginner,C++ allows function overloading.
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
Coding,Python,Hard,Write a Python function to find the factorial of a number.
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
True/False,Ruby,Beginner,Ruby is known for its performance in highly concurrent systems.
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
Coding,React,Beginner,Build a React component that displays a list of items.
True/False,C++,Beginner,C++ allows function overloading.
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
True/False,Python,Beginner,Python supports multiple inheritance.
True/False,C++,Intermediate,C++ allows function overloading.
Coding,React,Beginner,Build a React component that displays a list of items.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
True/False,Java,Hard,"In Java, strings are mutable."
True/False,Java,Hard,"In Java, strings are mutable."
MCQs,Ruby,Hard,What is a block in Ruby?
True/False,Python,Intermediate,Python supports multiple inheritance.
MCQs,JavaScript,Beginner,What is 'this' keyword in JavaScript?
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
True/False,Python,Intermediate,Python supports multiple inheritance.
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
Essay,Python,Intermediate,Discuss the importance of Python's standard library in development.
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
MCQs,Java,Hard,What is the purpose of the 'final' keyword in Java?
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
True/False,Go,Hard,Go was developed by Google.
Coding,JavaScript,Hard,Write a function to reverse a string in JavaScript.
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
True/False,Go,Hard,Go was developed by Google.
True/False,Ruby,Beginner,Ruby is known for its performance in highly concurrent systems.
True/False,Python,Intermediate,Python supports multiple inheritance.
MCQs,Python,Hard,Which of the following is the correct way to define a function in Python?
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
Coding,C++,Intermediate,Implement a C++ function to sort an array using the bubble sort algorithm.
True/False,Go,Intermediate,Go was developed by Google.
True/False,Java,Hard,"In Java, strings are mutable."
True/False,Java,Hard,"In Java, strings are mutable."
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
True/False,Ruby,Beginner,Ruby is known for its performance in highly concurrent systems.
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,Python,Intermediate,Discuss the importance of Python's standard library in development.
Coding,TypeScript,Beginner,Create a TypeScript function that checks if a string is a palindrome.
MCQs,JavaScript,Hard,What is 'this' keyword in JavaScript?
Coding,JavaScript,Hard,Write a function to reverse a string in JavaScript.
True/False,Python,Beginner,Python supports multiple inheritance.
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
True/False,Go,Intermediate,Go was developed by Google.
Essay,Ruby,Intermediate,Discuss the pros and cons of using Ruby on Rails for web development.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
Coding,Angular,Intermediate,Create a simple Angular form with validation.
Coding,C++,Hard,Implement a C++ function to sort an array using the bubble sort algorithm.
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
MCQs,C++,Intermediate,Which operator is used to allocate memory dynamically in C++?
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
MCQs,React,Beginner,Which hook is used to manage state in functional components?
MCQs,TypeScript,Beginner,How is TypeScript different from JavaScript?
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
MCQs,Java,Hard,What is the purpose of the 'final' keyword in Java?
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
MCQs,Node.js,Beginner,Which module in Node.js is used to handle file operations?
Essay,Go,Beginner,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,TypeScript,Hard,Discuss the benefits of using TypeScript in large-scale applications.
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
MCQs,C++,Intermediate,Which operator is used to allocate memory dynamically in C++?
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
Coding,C++,Hard,Implement a C++ function to sort an array using the bubble sort algorithm.
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
Coding,React,Intermediate,Build a React component that displays a list of items.
True/False,Java,Hard,"In Java, strings are mutable."
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
Essay,JavaScript,Intermediate,Explain the concept of closures in JavaScript and their use cases.
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
MCQs,Java,Hard,What is the purpose of the 'final' keyword in Java?
MCQs,Ruby,Hard,What is a block in Ruby?
Coding,React,Beginner,Build a React component that displays a list of items.
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
Coding,C++,Beginner,Implement a C++ function to sort an array using the bubble sort algorithm.
Essay,TypeScript,Hard,Discuss the benefits of using TypeScript in large-scale applications.
Coding,React,Intermediate,Build a React component that displays a list of items.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
True/False,Angular,Beginner,Angular is primarily used for backend development.
True/False,Java,Hard,"In Java, strings are mutable."
True/False,Python,Hard,Python supports multiple inheritance.
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
True/False,React,Beginner,React uses a virtual DOM to improve performance.
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
MCQs,Ruby,Hard,What is a block in Ruby?
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
True/False,JavaScript,Hard,JavaScript is a statically typed language.
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
MCQs,JavaScript,Hard,What is 'this' keyword in JavaScript?
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
Coding,React,Beginner,Build a React component that displays a list of items.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
True/False,Angular,Beginner,Angular is primarily used for backend development.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
True/False,Java,Intermediate,"In Java, strings are mutable."
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
MCQs,React,Hard,Which hook is used to manage state in functional components?
MCQs,Ruby,Beginner,What is a block in Ruby?
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
Essay,TypeScript,Hard,Discuss the benefits of using TypeScript in large-scale applications.
Coding,React,Intermediate,Build a React component that displays a list of items.
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
True/False,C++,Intermediate,C++ allows function overloading.
Coding,Java,Intermediate,Write a Java program to check if a number is prime.
True/False,Angular,Intermediate,Angular is primarily used for backend development.
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
True/False,Ruby,Intermediate,Ruby is known for its performance in highly concurrent systems.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
True/False,React,Hard,React uses a virtual DOM to improve performance.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
True/False,Angular,Beginner,Angular is primarily used for backend development.
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
MCQs,Ruby,Intermediate,What is a block in Ruby?
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
Coding,Java,Beginner,Write a Java program to check if a number is prime.
True/False,Python,Intermediate,Python supports multiple inheritance.
MCQs,C++,Intermediate,Which operator is used to allocate memory dynamically in C++?
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
Coding,Java,Beginner,Write a Java program to check if a number is prime.
Coding,C++,Intermediate,Implement a C++ function to sort an array using the bubble sort algorithm.
MCQs,Python,Hard,Which of the following is the correct way to define a function in Python?
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
Coding,Ruby,Intermediate,Write a Ruby method to calculate the Fibonacci sequence.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
MCQs,Ruby,Hard,What is a block in Ruby?
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
True/False,Angular,Hard,Angular is primarily used for backend development.
